"","Calendar","Italy","Lombardia","Veneto","Emilia.Romagna","Piemonte","Marche","Liguria","Toscana"
"1",2020-02-24,10.3212193120818,6.98286487037495,0.28102723779866,1.58771502605194,0.035481224188015,0.0029182255652785,0.368111945819641,0.00962089201388748
"2",2020-02-25,16.0558292817986,10.9837568812201,0.427940417473182,2.46815887101595,0.066015815419951,0.00742418148805455,0.55677079062921,0.0181260190049293
"3",2020-02-26,24.3830982771505,16.8262989440462,0.638844345461379,3.74336875950088,0.118833142763958,0.0176383080758903,0.825025877781468,0.0329941246867453
"4",2020-02-27,36.1966203151618,25.1429715959626,0.935816730907951,5.54676590469629,0.207315646415581,0.0393298397736166,1.19893221133536,0.0581340629282413
"5",2020-02-28,52.5905565090936,36.6999718768341,1.34635155692321,8.04026004380121,0.351119922048165,0.0826919017565289,1.71031883484461,0.0993237803108324
"6",2020-02-29,74.8714912188544,52.3998419065036,1.90400319949163,11.4152937040614,0.578220106925228,0.16464556091392,2.39725148140867,0.164828056859761
"7",2020-03-01,104.56223608475,73.2771674908354,2.64893041285217,15.8925903951683,0.927244286767348,0.311685719794941,3.30432759685489,0.266104180298956
"8",2020-03-02,143.396129439872,100.486683858881,3.62829533530887,21.7204389408976,1.45001593144763,0.563080064858088,4.48276242299846,0.418566898980216
"9",2020-03-03,193.300940963209,135.283695012453,4.89647566977708,29.171443464013,2.21416850372169,0.974088818177471,5.99023365262519,0.642370109635829
"10",2020-03-04,256.37216453077,178.997314555607,6.51505447361038,38.5377768442235,3.30566265028874,1.61875752619127,7.89046404005328,0.963150720606532
"11",2020-03-05,334.836200247842,232.997602831889,8.55256120509928,50.1250836519019,4.8310075365464,2.59178182713587,10.2525353385332,1.412671880908
"12",2020-03-06,431.004620267389,298.658148529099,11.0839491929466,64.245275891677,6.91897580268017,4.00897485036458,13.1499419059928,2.02929983480157
"13",2020-03-07,547.221318247295,377.315978157925,14.189807684235,81.2085423926789,9.72160847150842,6.00598842718309,16.6594070721321,2.85825199266319
"14",2020-03-08,685.804807882709,470.230848666688,17.9553201313623,101.314944090977,13.4143328413194,8.7351317642284,20.85949875122,3.95156355919514
"15",2020-03-09,848.988228100839,578.54598182068,22.4689934237568,124.845989687899,18.1950614193586,12.3603624610218,25.829091846427,5.367735562138
"16",2020-03-10,1038.85971699345,703.252147053295,27.8211944526575,152.056579342511,24.2821995224713,17.0507538572312,31.6457330066248,7.17104698239067
"17",2020-03-11,1257.30573803513,845.156719737651,34.1025399632936,183.167671052246,31.9115578146554,22.9729309543109,38.3839678474915,9.43053598064788
"18",2020-03-12,1505.95970130811,1004.85897072522,41.4021925497031,218.359970173179,41.3322373428005,30.2830862149246,46.1136917253206,12.2186777772104
"19",2020-03-13,1786.15785188309,1182.73242068946,49.8061195686833,257.768873391219,52.8016220378331,39.1192230264085,54.8985827283622,15.6098074407467
"20",2020-03-14,2098.90393673073,1378.91465825695,59.3953726145773,301.480821098408,66.5796713090234,49.5942306565865,64.7946701374114,19.6783528462812
"21",2020-03-15,2444.84365231096,1593.3046081474,70.2444431490459,349.531133014572,82.9227487085172,61.7902849202582,75.8490837881081,24.4969550297269
"22",2020-03-16,2824.24935711621,1825.56687127347,82.419745247016,401.903326666793,102.077248798686,75.7549161087246,88.0990202283187,30.1345593486789
"23",2020-03-17,3237.01504161352,2075.14246119837,95.9782696663662,458.529851460264,124.273292254735,91.4989151052392,101.570951026193,36.6545611237164
"24",2020-03-18,3682.66110972754,2341.26504027865,110.966445125288,519.294115654741,149.718749543453,108.996083050093,116.28008774415,44.1130842034628
"25",2020-03-19,4160.34816054204,2622.98161638805,127.419233363463,584.033641353837,178.593828349489,128.18468731209,132.230107574661,52.5574610336584
"26",2020-03-20,4668.89867737393,2919.17659328059,145.359474846627,652.544154136539,211.046422441611,148.970378153549,149.413133952933,62.0249694741308
"27",2020-03-21,5206.82533738446,3228.59806581782,164.797492376233,724.584398698859,247.188373664083,171.230251028511,167.809958012473,72.5418660977032
"28",2020-03-22,5772.36454571929,3549.88530400354,185.730950838952,799.881468536775,287.092748164433,194.8177080276,187.390479794781,84.1227393211351
"29",2020-03-23,6363.51376623987,3881.59646424806,208.144963234044,878.136444477237,330.792176598172,219.567773646774,208.114342801593,96.7701896430694
"30",2020-03-24,6978.07125532495,4222.23568965529,232.012426209205,959.03015166139,378.278259174255,245.302547528242,229.931731813101,110.474829481689
"31",2020-03-25,7613.67689319488,4570.27890140113,257.294562776811,1042.22886523976,429.501992645957,271.83652197073,252.784301820901,125.215582353149
"32",2020-03-26,8267.85293532086,4924.1977299799,283.941645739355,1127.38981948008,484.375139577071,298.981547020822,276.60620530085,140.960250887403
"33",2020-03-27,8938.04366167143,5282.48117964362,311.893872611949,1214.16640134768,542.772431525401,326.551284110649,301.325185688983,157.666315667664
"34",2020-03-28,9621.65307187734,5643.65475515042,341.082361411743,1302.21293630885,604.534477583821,354.365045257893,326.863706603919,175.28192211139
"35",2020-03-29,10316.079949515,6006.29690232154,371.430236460261,1391.18899985378,669.471237804704,382.250965135673,353.140088850694,193.747010416164
"36",2020-03-30,11018.7497901262,6369.05271998505,402.853774152299,1480.76321208329,737.365916740368,410.048495672425,380.069630315927,212.994543676093
"37",2020-03-31,11727.1432487434,6730.64498927166,435.263580302256,1570.61649399464,807.979134665551,437.610246318216,407.565687309162,232.95179125494
"38",2020-04-01,12438.8209088743,7089.88263674716,468.565772997415,1660.44478244724,881.05324181721,464.803217731383,435.540699529503,253.541627963614
"39",2020-04-02,13151.444303094,7445.66680126678,502.663147683382,1749.96121602548,956.31665292232,491.509493079441,463.907144477128,274.683814111142
"40",2020-04-03,13862.7932240627,7796.99471211601,537.456304307695,1838.89781615786,1033.48809413294,517.626460496766,492.578410652612,296.296226683206
"41",2020-04-04,14570.7794535596,8142.9616097721,572.844719599113,1927.00669705225,1112.28067108616,543.066643775812,521.469582190107,318.296017397691
"42",2020-04-05,15273.457106611,8482.76095250115,608.727750829587,2014.06084451476,1192.40568412993,567.757217397935,550.498130578613,340.600678894299
"43",2020-04-06,15969.0298392544,8815.68315407497,645.005560583626,2099.8545078417,1273.57613394652,591.639277765374,579.584511790176,363.129005597338
"44",2020-04-07,16655.8552036783,9141.11309216335,681.579955059279,2184.20325105027,1355.50987718514,614.666936064086,608.652669428725,385.801940669353
"45",2020-04-08,17332.4464554217,9458.52661529961,718.355131182237,2266.94371008911,1437.93240678021,636.806290476855,637.630446431153,408.543304826982
"46",2020-04-09,17997.4721261448,9767.48626040201,755.238330285933,2347.93310168169,1520.57924504206,658.034327201064,666.449909401141,431.280406547436
"47",2020-04-10,18649.7536743331,10067.6363741086,792.140398270491,2427.04852741415,1603.19794916611,678.337791453147,695.047590855529,453.944536324939
"48",2020-04-11,19288.2615171885,10358.6978108649,828.976253991856,2504.18611386862,1685.54973843847,697.712061752361,723.364655540407,476.471350145469
"49",2020-04-12,19912.1097317865,10640.4623597801,865.665269151883,2579.26002626739,1767.41076014345,716.160053527748,751.346997562812,498.801149265275
"50",2020-04-13,20520.5496940027,10912.7870315211,902.131564173112,2652.2013894428,1848.57301709482,733.691171633935,778.945275419768,520.879064752079
"51",2020-04-14,21112.9629011964,11175.5883165267,938.304225468211,2722.95714615504,1928.84498396717,750.320325760979,806.114892126522,542.655156137353
