"","Calendar","Italy","Lombardia","Veneto","Emilia.Romagna","Piemonte","Campania","Liguria","Toscana"
"1",2020-08-15,28.2633663072151,8.23494621027606,7.68537892880771,2.75027133224247,3.38346673674322,2.18073576878313,0.0717456418199935,1.86459919348002
"2",2020-08-16,30.7503508825265,9.05197763388639,8.3313905823264,2.9741203997348,3.5471961253511,2.30761263244593,0.0973826095967415,1.98879798638941
"3",2020-08-17,33.417074270121,9.92757381148384,9.01707774352921,3.21145675529863,3.71824292146264,2.44132739311176,0.130464864641287,2.12030385918111
"4",2020-08-18,36.2732085765443,10.8638371639667,9.74371062469693,3.46272635506586,3.89690510588117,2.58221724675046,0.172613443235783,2.25948355620758
"5",2020-08-19,39.3287068996316,11.862788856353,10.5125248736508,3.72836682511299,4.08349149958308,2.73063433764124,0.225661145870539,2.40671852968377
"6",2020-08-20,42.5937967327972,12.9263584527026,11.3247171495382,4.00880610000924,4.27832210498065,2.88694633788067,0.291650277971298,2.56240533834919
"7",2020-08-21,46.0789724388026,14.0563740354065,12.1814408268677,4.30446108414725,4.4817284559432,3.05153704559062,0.372824319186899,2.7269560482171
"8",2020-08-22,49.7949867964632,15.2545528610096,13.0838018507736,4.61573634240575,4.69405397673385,3.22480700227455,0.47161325940962,2.90079863502314
"9",2020-08-23,53.7528416277275,16.5224926180301,14.0328547650791,4.94302282642932,4.91565435002057,3.40717412977607,0.590612596953026,3.08437738797262
"10",2020-08-24,57.9637775165263,17.8616633450148,15.0295989331764,5.28669664250464,5.14689789412025,3.59907438729833,0.732556258524877,3.2781533143719
"11",2020-08-25,62.4392626347123,19.2734000594649,16.0749749700766,5.64711786667206,5.38816594963575,3.80096244894725,0.900283956217408,3.48260454471705
"12",2020-08-26,67.1909806942711,20.7588961403881,17.1698614022142,6.02462941233751,5.63985327564593,4.01331240226646,1.0967037291951,3.69822673780026
"13",2020-08-27,72.2308180487645,22.3191974992051,18.3150715697519,6.4195559552491,5.9023684556096,4.23661846823586,1.32475061470179,3.92553348538256
"14",2020-08-28,77.570849970634,23.9551975656756,19.5113507842336,6.83220292027843,6.17613431314436,4.47139574320985,1.58734254491309,4.16505671597042
"15",2020-08-29,83.2233261345434,25.6676331075092,20.7593737525003,7.26285553400378,6.4615883378419,4.71818096327524,1.88733466682879,4.4173470972224
"16",2020-08-30,89.2006553403319,27.4570808944996,22.059742275835,7.7117779466355,6.75918312128145,4.97753329151248,2.22747332910414,4.68297443650193
"17",2020-08-31,95.5153895123837,29.3239552104379,23.4129832313577,8.17921242635629,7.06938680340343,5.25003512864747,2.61035097306935,4.96252807908284
