"","Calendar","Italy","Lombardia","Veneto","Emilia.Romagna","Piemonte","Marche","Liguria","Toscana"
"1",2020-02-24,16.2913026230607,12.9515669676519,0.316176931631217,2.46496780979051,0.052197619387036,0.00185528432200165,0.495111728918986,0.0303009836612842
"2",2020-02-25,24.3950339957505,19.2775457987906,0.477544039214212,3.6899331891688,0.0942484508027502,0.00495098909667615,0.731945764899387,0.0521974112904348
"3",2020-02-26,35.7619967742964,28.066528105271,0.707449872047646,5.40450316208478,0.164988708019252,0.0122813824498844,1.06175024267012,0.0874251046398245
"4",2020-02-27,51.3809544992683,40.0189674000288,1.02889489644125,7.75416295195863,0.280475515691816,0.0284732847219083,1.51263026368582,0.142576845116198
"5",2020-02-28,72.4273302828684,55.9482403744712,1.4703308299378,10.9103864823271,0.463728494025942,0.0620080990599439,2.11831219501747,0.226717779658856
"6",2020-02-29,100.267069055416,76.7760109586256,2.06626403682176,15.0705612983082,0.746780731066031,0.127439084039241,2.91847052190584,0.351976029164028
"7",2020-03-01,136.452786834184,103.521847504951,2.85775156792694,20.4567229402308,1.17295726896558,0.248240442031537,3.95888324549298,0.534157590483893
"8",2020-03-02,182.711442307962,137.28709625698,3.89274737816125,27.3130302180444,1.79928070609257,0.460141123982985,5.2913844334258,0.793349615545652
"9",2020-03-03,240.923274009291,179.233421986867,5.22625988576852,35.9019952623074,2.69886666274648,0.81463328850222,6.97359161377233,1.15446946149425
"10",2020-03-04,313.092295277965,230.556807366495,6.9202887107066,46.499566092891,3.96314212574699,1.38219858145435,9.06839687699632,1.64771325885698
"11",2020-03-05,401.309179379432,292.458120574379,9.04351775273016,59.3892369021976,5.70370168950095,2.25470653416762,11.6432229565816,2.30885789423041
"12",2020-03-06,507.707851459966,366.111589002865,11.6707531028666,74.8554254814033,8.05361394860946,3.54644092437542,14.7690582360238,3.17937458543495
"13",2020-03-07,634.417493245949,452.632640114391,14.8821068081995,93.1764031589634,11.1680045758159,5.39331443668963,18.5192966202402,4.30632049959458
"14",2020-03-08,783.511932752678,553.046584717053,18.761940322019,114.617087358465,15.2237737366104,7.95002735520849,22.9684186512599,5.74198652489492
"15",2020-03-09,956.958520313449,668.259530233968,23.3975936624087,139.422009750518,20.4183512372292,11.3851786888858,28.1905584511986,7.54329336975028
"16",2020-03-10,1156.56858292276,799.032737644965,28.87793704901,167.808755356463,26.9674492582444,15.8746019455096,34.2580065711452,9.77094339213911
"17",2020-03-11,1383.95141210281,945.961397236712,35.2917904185926,199.962132898228,35.1018346014857,21.5934258961735,41.2397013868017,12.4883506250709
"18",2020-03-12,1640.47349654729,1109.4585194822,42.726262261856,236.029288346219,45.0632044782571,28.7075162446037,49.1997613227907,15.7603850914046
"19",2020-03-13,1927.22438622945,1289.74434268461,51.2650624239461,276.11591673431,57.0993065762525,37.3650170400066,58.196107130873,19.6519786196478
"20",2020-03-14,2244.99019903497,1486.84137062005,60.9868438368989,320.283666675945,71.4584908280962,47.6886794450519,68.2792180845636,24.2266472042552
"21",2020-03-15,2594.23538383053,1700.57488960204,71.9636257707934,368.548772033637,88.383913559715,59.7695545664913,79.4910587918233,29.5449890694514
"22",2020-03-16,2975.09296225285,1930.57858871749,84.2593464335539,420.881889574886,108.107632589191,73.6624614685379,91.8642049388212,35.6632179194516
"23",2020-03-17,3387.36310816909,2176.30472798723,97.9285860690643,477.209073016721,130.844833962486,89.3834503352157,105.421187242551,42.6317876366796
"24",2020-03-18,3830.51960614321,2437.03817066974,113.015493623949,537.413774493407,156.788418324629,106.909291548249,120.174063757312,50.4941584293037
"25",2020-03-19,4303.72347003777,2711.91351753081,129.552941125329,601.339735131042,186.10414952981,126.178856084906,136.124221932619,59.2857458164403
"26",2020-03-20,4805.84280621739,2999.93454905675,147.561920670093,668.794607215501,218.926532868953,147.096125329767,153.262403852345,69.0330836555647
"27",2020-03-21,5335.47787386728,3299.99519038992,167.051189857036,739.554140865716,255.355548530624,169.534485465505,171.568941190491,79.7532214595812
